STATION,NAME,DATE,ACMH,ACSH,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV01
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/2/1972,90,80,,,,0,0,0,,55,46,,180,,,,,,29.1,,,,,1,1,,,,,,1,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/3/1972,100,100,,,,0.86,0,0,,53,28,,180,,,,,,28,,,,,1,1,1,1,,1,,1,1,,,,,1,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/4/1972,70,50,,,,0,0,0,,41,21,,350,,,,,,17.9,,,,,1,,,,,1,,,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/5/1972,80,90,,,,0.25,0,0,,44,30,,260,,,,,,30,,,,,1,,,,,,,1,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/6/1972,30,20,,,,0,0,0,,34,25,,280,,,,,,29.1,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/7/1972,60,70,,,,0,0,0,,49,30,,190,,,,,,29.1,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/8/1972,80,90,,,,0.23,0,0,,48,30,,290,,,,,,25.1,,,,,,,,,,,,1,,,,,,1,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/9/1972,20,30,,,,0,0,0,,33,22,,300,,,,,,23.9,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/10/1972,40,60,,,,0,0,0,,36,24,,340,,,,,,17,,,,,,,,,,,,,,,,,,,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/11/1972,50,40,,,,0.13,0.8,0,,40,23,,200,,,,,,21,,,,,,,1,,,,,1,,,,,,,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/12/1972,100,100,,,,0.39,0.1,0,,47,38,,200,,,,,,21,,,,,,,1,,,,,1,,,,,,1,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/13/1972,90,90,,,,0,0,0,,47,39,,60,,,,,,17,,,,,,,,,,,,1,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/14/1972,100,100,,,,0.8,1.9,0,,39,36,,80,,,,,,29.1,,,,,,,1,1,,,,1,,,,,,1,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/15/1972,100,100,,,,0,0,0,,42,35,,50,,,,,,25.1,,,,,,,,,,,,1,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/16/1972,60,60,,,,0.36,0,0,,52,33,,180,,,,,,21,,,,,1,,1,,,,,,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/17/1972,100,100,,,,0.76,0,0,,53,44,,320,,,,,,23,,,,,1,1,1,,,,,,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/18/1972,70,70,,,,0.04,0,0,,53,44,,280,,,,,,23,,,,,,,,,,,,,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/19/1972,40,40,,,,0,0,0,,48,36,,320,,,,,,19.9,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/20/1972,20,40,,,,0,0,0,,41,30,,10,,,,,,16.1,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/21/1972,60,60,,,,0,0,0,,50,34,,120,,,,,,21.9,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/22/1972,90,100,,,,0.22,0,0,,52,43,,280,,,,,,29.1,,,,,1,1,,,,,,1,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/23/1972,70,80,,,,0,0,0,,48,37,,260,,,,,,21.9,,,,,,,,,,,,,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/24/1972,80,70,,,,0,0,0,,46,34,,320,,,,,,25.1,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/25/1972,40,20,,,,0,0,0,,47,32,,310,,,,,,21.9,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/26/1972,0,0,,,,0,0,0,,47,30,,300,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/27/1972,10,20,,,,0,0,0,,49,33,,340,,,,,,21.9,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/28/1972,0,10,,,,0,0,0,,51,31,,320,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/29/1972,30,30,,,,0,0,0,,55,38,,140,,,,,,19.9,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/30/1972,100,100,,,,0.05,0,0,,44,41,,100,,,,,,14.1,,,,,,,,,,,,1,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/31/1972,100,100,,,,0,0,0,,48,41,,40,,,,,,19.9,,,,,,,,,,,,1,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/1/1972,20,10,,,,0,0,0,,55,40,,180,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/2/1972,60,80,,,,0.1,0,0,,54,42,,280,,,,,,16.1,,,,,,,,,,,,1,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/3/1972,30,50,,,,0,0,0,,53,39,,320,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/4/1972,70,100,,,,0.24,0,0,,46,37,,300,,,,,,23,,,,,1,,,,,,,1,,,,,,1,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/5/1972,40,30,,,,0,0,0,,49,34,,190,,,,,,23.9,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/6/1972,60,50,,,,0,0,0,,56,39,,180,,,,,,23,,,,,,,,,,,,1,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/7/1972,100,100,,,,0,0,0,,47,30,,30,,,,,,25.9,,,,,,,,1,,,,,,,,,,1,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/8/1972,70,90,,,,0,0,0,,44,28,,330,,,,,,30,,,,,,,,,,,,,,,,,,,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/9/1972,0,0,,,,0,0,0,,53,31,,310,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/10/1972,60,80,,,,0,0,0,,56,39,,280,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,
